Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
20,Female,Student,Below RM 2500,Nike,Stylish,Sport Shoes,RM 250 - RM 499,Both accepted,Once every 6 months,Gym,No,No,Yes,No,Price,Design,Always in regular shops,In brick and mortar stores (information from seller),15-20
28,Female,Self-employed,Below RM 2500,Asics,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Running,Yes,Yes,Yes,No,Fashionable,Promotions,"Usually on the Internet, occasionally in regular shops",From friends or family,21-30
44,Female,Without occupation,Below RM 2500,Adidas,Stylish,T-shirts,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,No,No,No,Fashionable,Quality,"Usually on the Internet, occasionally in regular shops",Websites of producers,41-50
17,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,Yes,Yes,Yes,Yes,Comfy,Quality,Always in regular shops,Internet forums / Discussion groups,15-20
17,Female,Student,above RM 15039,Adidas,Other,Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Running,Yes,Yes,Yes,Yes,Fashionable,Design,"Usually on the Internet, occasionally in regular shops",Websites of producers,15-20
17,Female,Student,Below RM 2500,Nike,Other,T-shirts,RM 0 - RM 249,Both accepted,Once every 6 months,Cycling,Yes,Yes,Yes,Yes,Flexibility,Quality,"Usually on the Internet, occasionally in regular shops",From friends or family,15-20
20,Female,Student,Below RM 2500,Adidas,Stylish,T-shirts;Sport Shoes,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per month,Walking,No,No,Yes,Yes,Price,Promotions,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,15-20
46,Male,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,No,Yes,Price,Quality,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
20,Female,Student,Below RM 2500,Nike,Profile,T-shirts;Shorts,RM 250 - RM 499,Both accepted,Once every 6 months,Walking,No,No,Yes,Yes,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,15-20
20,Female,Student,Below RM 2500,Nike,Stylish,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,No,No,Yes,No,Fashionable,Design,As often in regular shops as on the Internet,In brick and mortar stores (information from seller),15-20
20,Female,Student,Below RM 2500,Adidas,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Walking,No,Yes,No,Yes,Fashionable,Quality,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,15-20
25,Male,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once per month,Running,Yes,Yes,No,Yes,Fashionable,Design,As often in regular shops as on the Internet,In brick and mortar stores (information from seller),21-30
18,Male,Student,Below RM 2500,Nike,Stylish,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Both accepted,Once per month,Walking,Yes,Yes,No,Yes,Flexibility,Peer effect,As often in regular shops as on the Internet,From friends or family,15-20
21,Female,Employee,RM 2501 - RM 4849,Adidas,Affordable,Sport Shoes,RM 250 - RM 499,Both accepted,Once every 6 months,Walking,No,No,No,No,Comfy,Quality,Always in regular shops,From friends or family,21-30
17,Female,Student,Below RM 2500,Adidas,Profile,T-shirts;Sport Shoes;Caps;Bags,RM 750 - RM 999,Both accepted,Once per year,Running,No,No,Yes,No,Fashionable,Promotions,Always in regular shops,Websites of producers,15-20
23,Female,Other,above RM 15039,Nike,Profile,Shorts;Bags,above RM 999,Dark colour - Black / Grey / Brown / etc,Several times per month,Walking,Yes,No,Yes,No,Fashionable,Promotions,"Usually in regular shops, occasionally on the Internet",From friends or family,21-30
22,Male,Employee,RM 4850 - RM 10959,Asics,Affordable,T-shirts;Sport Shoes;Caps,RM 500 - RM 749,Both accepted,Once per month,Gym,Yes,Yes,No,No,Flexibility,Promotions,"Usually in regular shops, occasionally on the Internet",From friends or family,21-30
20,Male,Student,RM 2501 - RM 4849,Asics,Profile,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 500 - RM 749,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Gym,Yes,No,Yes,No,Fashionable,Peer effect,As often in regular shops as on the Internet,Websites of producers,15-20
15,Female,Student,Below RM 2500,Adidas,Quality,Sport Shoes,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once every 6 months,Walking,No,No,No,Yes,Flexibility,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
22,Female,Student,Below RM 2500,Adidas,Quality,Sport Shoes,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Cycling,Yes,Yes,Yes,No,Price,Quality,Always in regular shops,From friends or family,21-30
19,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Walking,No,No,Yes,Yes,Comfy,Quality,Always in regular shops,In brick and mortar stores (information from seller),15-20
21,Male,Student,RM 2501 - RM 4849,Asics,Quality,Sport Shoes;Caps,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,No,Comfy,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,21-30
20,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Walking,Yes,No,Yes,No,Fashionable,Promotions,Always in regular shops,Websites of producers,15-20
20,Female,Student,Below RM 2500,Nike,Affordable,Sport Shoes,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once per year,Walking,No,Yes,Yes,Yes,Flexibility,Design,Always in regular shops,From friends or family,15-20
21,Female,Student,Below RM 2500,Adidas,Profile,T-shirts,RM 0 - RM 249,Both accepted,Several times per month,Gym,Yes,Yes,Yes,Yes,Fashionable,Quality,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,21-30
22,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Both accepted,Once per year,Walking,Yes,No,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
20,Female,Student,Below RM 2500,Adidas,Affordable,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,Yes,Yes,Yes,Yes,Comfy,Quality,Always in regular shops,In brick and mortar stores (information from seller),15-20
20,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,Yes,Yes,Yes,Yes,Comfy,Design,Always in regular shops,Websites of producers,15-20
20,Female,Student,Below RM 2500,Adidas,Stylish,T-shirts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Both accepted,Once every 6 months,Walking,No,No,Yes,Yes,Comfy,Design,"Usually in regular shops, occasionally on the Internet",From friends or family,15-20
20,Female,Student,Below RM 2500,Nike,Stylish,Sport Shoes,RM 250 - RM 499,Both accepted,Once every 6 months,Running,Yes,No,Yes,Yes,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
22,Female,Student,Below RM 2500,Nike,Quality,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,No,No,Yes,Yes,Price,Promotions,Always in regular shops,Websites of producers,21-30
22,Female,Employee,RM 2501 - RM 4849,Nike,Quality,Sport Shoes,RM 0 - RM 249,Both accepted,Once per year,Walking,Yes,No,No,No,Price,Promotions,Always in regular shops,Internet forums / Discussion groups,21-30
18,Female,Student,Below RM 2500,Adidas,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once per year,Walking,No,Yes,No,No,Comfy,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
20,Female,Student,Below RM 2500,Adidas,Stylish,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,Yes,No,Yes,Yes,Flexibility,Quality,"Usually in regular shops, occasionally on the Internet",From friends or family,15-20
20,Female,Employee,Below RM 2500,Asics,Quality,T-shirts;Shorts,RM 0 - RM 249,Both accepted,Several times per month,Running,No,No,Yes,No,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
20,Female,Student,Below RM 2500,Nike,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Walking,No,Yes,Yes,No,Price,Quality,"Usually in regular shops, occasionally on the Internet",Websites of producers,15-20
40,Female,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts;Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Cycling,Yes,Yes,Yes,Yes,Flexibility,Quality,As often in regular shops as on the Internet,Internet forums / Discussion groups,31-40
27,Female,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts;Shorts,RM 0 - RM 249,Light colour - White / Pink / Yellow / etc,Once every 6 months,Running,Yes,No,No,No,Comfy,Design,Always in regular shops,Websites of producers,21-30
22,Male,Employee,RM 2501 - RM 4849,Adidas,Quality,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Walking,No,No,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Websites of producers,21-30
19,Female,Student,Below RM 2500,Adidas,Stylish,T-shirts,RM 0 - RM 249,Both accepted,Never,Walking,No,No,Yes,Yes,It's worn by a celebrity or role model,Quality,"Usually on the Internet, occasionally in regular shops",From friends or family,15-20
38,Male,Self-employed,RM 10960 - RM 15039,Nike,Stylish,T-shirts;Sport Shoes;Bags,above RM 999,Both accepted,Several times per month,Gym,Yes,Yes,Yes,No,Comfy,Quality,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
22,Female,Student,Below RM 2500,Nike,Stylish,Sport Shoes;Bags,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once every 6 months,Walking,Yes,Yes,Yes,No,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Websites of producers,21-30
36,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
33,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
40,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
37,Male,Employee,RM 4850 - RM 10959,Nike,Quality,T-shirts;Sport Shoes;Caps,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,Always on the Internet,Internet forums / Discussion groups,31-40
34,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,Yes,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
50,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
49,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
50,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
47,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
31,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
43,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
34,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
38,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
30,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
42,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
43,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
50,Male,Employee,RM 4850 - RM 10959,Adidas,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
30,Male,Employee,RM 4850 - RM 10959,Nike,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
48,Male,Employee,RM 4850 - RM 10959,Adidas,Stylish,T-shirts;Shorts;Sport Shoes;Bags,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
37,Female,Employee,RM 4850 - RM 10959,Asics,Quality,Shorts,RM 0 - RM 249,Both accepted,Once per year,Walking,No,No,No,No,Price,Quality,Always on the Internet,Websites of producers,31-40
43,Male,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
47,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,41-50
36,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
35,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
37,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
